K,logLik,df,AIC,BIC,entropy,converged
2,-31579.67002749025,157,63473.3400549805,64300.012521531375,0.9038054701839627,TRUE
3,-30176.16516632155,236,60824.3303326431,62066.97174733103,0.9131314376515894,TRUE
4,-29447.733289690463,315,59525.466579380925,61184.076942205924,0.9208665911151361,TRUE
5,-29047.680184526118,394,58883.360369052236,60957.93968001429,0.9073857794491423,TRUE
6,-28751.75720921162,473,58449.51441842324,60940.062677522365,0.8945548050109832,TRUE
7,-28537.661185666402,552,58179.322371332804,61085.839578568986,0.8931681847981454,TRUE
8,-28390.237902221223,631,58042.475804442445,61364.961959815686,0.8896066234155051,TRUE
9,-28242.694097984167,710,57905.388195968335,61643.84329947864,0.8900805844504713,TRUE
10,-28123.20789833966,789,57824.41579667932,61978.839848326694,0.8939772669294487,TRUE
11,-28024.023717206597,868,57784.047434413194,62354.440434197626,0.9016973041755094,TRUE
12,-27927.823808739155,947,57749.64761747831,62736.0095653998,0.8988323319994936,TRUE
13,-27856.079613396123,1026,57764.159226792246,63166.4901228508,0.9055121818946316,TRUE
14,-27758.19866545458,1105,57726.39733090916,63544.697175104775,0.9089901234023565,TRUE
15,-27687.930645274733,1184,57743.86129054947,63978.13008288215,0.9061285771402798,TRUE
16,-27598.936022185524,1263,57723.87204437105,64374.10978484079,0.9160806038619269,TRUE
